Census,School,Category,Year,Students
09-Feb-24,Ainslie School,Gov,Preschool,51
09-Feb-24,Ainslie School,Gov,Kindergarten,51
09-Feb-24,Ainslie School,Gov,Year 1,73
09-Feb-24,Ainslie School,Gov,Year 2,53
09-Feb-24,Ainslie School,Gov,Year 3,60
09-Feb-24,Ainslie School,Gov,Year 4,45
09-Feb-24,Ainslie School,Gov,Year 5,54
09-Feb-24,Ainslie School,Gov,Year 6,54
09-Feb-24,Alfred Deakin High School,Gov,Year 7,213
09-Feb-24,Alfred Deakin High School,Gov,Year 8,193
09-Feb-24,Alfred Deakin High School,Gov,Year 9,246
09-Feb-24,Alfred Deakin High School,Gov,Year 10,211
09-Feb-24,Amaroo School,Gov,Preschool,86
09-Feb-24,Amaroo School,Gov,Kindergarten,72
09-Feb-24,Amaroo School,Gov,Year 1,80
09-Feb-24,Amaroo School,Gov,Year 2,98
09-Feb-24,Amaroo School,Gov,Year 3,108
09-Feb-24,Amaroo School,Gov,Year 4,93
09-Feb-24,Amaroo School,Gov,Year 5,140
09-Feb-24,Amaroo School,Gov,Year 6,150
09-Feb-24,Amaroo School,Gov,Year 7,240
09-Feb-24,Amaroo School,Gov,Year 8,266
09-Feb-24,Amaroo School,Gov,Year 9,243
09-Feb-24,Amaroo School,Gov,Year 10,226
09-Feb-24,Aranda Primary School,Gov,Preschool,60
09-Feb-24,Aranda Primary School,Gov,Kindergarten,56
09-Feb-24,Aranda Primary School,Gov,Year 1,70
09-Feb-24,Aranda Primary School,Gov,Year 2,84
09-Feb-24,Aranda Primary School,Gov,Year 3,60
09-Feb-24,Aranda Primary School,Gov,Year 4,83
09-Feb-24,Aranda Primary School,Gov,Year 5,79
09-Feb-24,Aranda Primary School,Gov,Year 6,72
09-Feb-24,Arawang Primary School,Gov,Preschool,66
09-Feb-24,Arawang Primary School,Gov,Kindergarten,61
09-Feb-24,Arawang Primary School,Gov,Year 1,62
09-Feb-24,Arawang Primary School,Gov,Year 2,80
09-Feb-24,Arawang Primary School,Gov,Year 3,66
